title,terr,dist,P&A Currency,Tht. Release Status,Box Office Release Date,Weeks in Release,Cume Box Office,Cume Admissions,Opening Wkend Box Office,OW Admissions,OW Screens,OW Rank,Current Wkend Box Office,CW Admissions,CW Screens,CW Rank,Wkend 2 Box Office,Wkend 2 Admissions,Wkend 2 Screens,Wkend 2 Rank,Wkend 3 Box Office,Wkend 3 Admissions,Wkend 3 Screens,Wkend 3 Rank,Wkend 4 Box Office,Wkend 4 Admissions,Wkend 4 Screens,Wkend 4 Rank,Wkend 5 Box Office,Wkend 5 Admissions,Wkend 5 Screens,Wkend 5 Rank,Wkend 6 Box Office,Wkend 6 Admissions,Wkend 6 Screens,Wkend 6 Rank,Wkend 7 Box Office,Wkend 7 Admissions,Wkend 7 Screens,Wkend 7 Rank,Wkend 8 Box Office,Wkend 8 Admissions,Wkend 8 Screens,Wkend 8 Rank,Wkend 9 Box Office,Wkend 9 Admissions,Wkend 9 Screens,Wkend 9 Rank,Wkend 10 Box Office,Wkend 10 Admissions,Wkend 10 Screens,Wkend 10 Rank
A Walk Among The Tombstones,Croatia,A-Company,HRK,Complete,16-Oct-14,4,"159,235.00","6,411.00",45613.98,1561,12,9,0,,,,30801.98,1002,12,13,16196.03,511,12,16,12279.98,473,6,23,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Czech Republic,A-Company,CZK,Complete,30-Oct-14,2,"603,272.00",,337329.91,,36,14,0,,,,148946.07,,20,19,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Denmark,Scanbox,DKK,Complete,18-Sep-14,6,"2,180,020.00","26,577.00",716459.03,8625,50,4,0,,,,437671,5261,48,7,174454.02,2125,28,12,91234,1091,14,15,87090.98,1019,10,21,19424.98,236,6,26,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Dominican Republic,CDC,DOP,Complete,6-Nov-14,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Ecuador,CDC,USD,Complete,31-Oct-14,3,"247,204.00",,82680,,39,4,0,,,,55546,,39,4,29416,,39,6,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Egypt,Front Row,EGP,Complete,15-Oct-14,3,"336,821.00",,208660,,7,3,0,,,,48823.98,,4,10,18738.01,,2,14,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,El Salvador,CDC,USD,Complete,6-Nov-14,4,"49,969.00","14,874.00",22026,5820,13,2,0,,,,11091,2867,11,5,1832,462,4,8,150,60,1,15,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Estonia,A-Company,EUD,Complete,31-Oct-14,3,"23,240.00","4,346.00",11094,1975,6,6,0,,,,4647,781,6,12,769,133,3,21,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Finland,Scanbox,EUD,Complete,19-Sep-14,3,"110,909.00","10,986.00",41569,3930,53,5,0,,,,21520,1999,32,8,9848,899,18,14,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,France,Metropolitan,EUD,Complete,15-Oct-14,5,"1,308,744.00","203,761.00",524326,81165,173,8,0,,,,327961,50768,171,17,96286,14905,81,25,15123,2341,,28,6705,1038,,51,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Germany,SquareOne,EUD,Complete,13-Nov-14,9,"3,490,277.00","434,900.00",1035770,122886,305,4,0,,,,637075,75540,312,5,388147,45724,321,6,280447,32659,304,9,141438,16368,249,11,110886,12833,159,13,100255,11426,159,18,86134,9814,93,22,12964,1461,52,37,0,,,
A Walk Among The Tombstones,Greece,Odeon,EUD,Complete,25-Dec-14,3,"445,703.00","67,675.00",159467,23027,38,3,0,,,,118048,17192,28,7,56624,8214,26,7,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Guatemala,CDC,GTQ,Complete,13-Nov-14,6,"411,145.00","11,420.00",199668.96,4914,14,4,0,,,,76414.99,2110,9,5,16637.98,491,3,9,14696,427,3,12,1690.03,92,1,14,4530.01,89,1,10,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Honduras,CDC,HNL,Complete,6-Nov-14,4,"909,387.00","11,643.00",442461.01,5048,17,2,0,,,,210537.05,2466,16,3,36774.9,470,6,9,3737.09,53,1,13,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Hong Kong,Deltamac,HKD,Complete,18-Sep-14,4,"3,175,604.00","56,878.00",1891175.03,33352,35,2,0,,,,465604.99,8560,29,6,44631.97,702,2,20,6335.01,89,1,27,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
