"title,terr,dist,currency,ended,Box Office Release Date,Weeks in Release,cume_bo,cume_adm"
"American Woman,Jordan,Sony,JOD,Direct to Video,STV,,0,0"
"American Woman,Kuwait,Sony,KWD,Direct to Video,STV,,0,0"
"American Woman,Latvia,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Lebanon,Sony,LBP,Direct to Video,STV,,0,0"
"American Woman,Lithuania,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Malaysia,Sony,MYR,Direct to Video,STV,,0,0"
"American Woman,Mexico,Sony,MXN,Direct to Video,STV,,0,0"
"American Woman,Netherlands,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,New Zealand,Sony,NZD,Direct to Video,STV,,0,0"
"American Woman,Norway,Sony,NOK,Direct to Video,STV,,0,0"
"American Woman,Oman,Sony,OMR,Direct to Video,STV,,0,0"
"American Woman,Paraguay,Sony,PYG,Direct to Video,STV,,0,0"
"American Woman,Peru,Sony,PEN,Direct to Video,STV,,0,0"
"American Woman,Philippines,Sony,PHP,Direct to Video,STV,,0,0"
"American Woman,Poland,Sony,PLN,Direct to Video,STV,,0,0"
"American Woman,Portugal,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Qatar,Sony,QAR,Direct to Video,STV,,0,0"
"American Woman,Romania,Sony,RON,Direct to Video,STV,,0,0"
"American Woman,Russia,Sony,RUB,Direct to Video,STV,,0,0"
"American Woman,Serbia,Sony,RSD,Direct to Video,STV,,0,0"
"American Woman,Singapore,Sony,SGD,Direct to Video,STV,,0,0"
"American Woman,Slovakia,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Slovenia,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,South Africa,Sony,ZAR,Direct to Video,STV,,0,0"
"American Woman,South Korea,Sony,KRW,Direct to Video,STV,,0,0"
"American Woman,Spain,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Sweden,Sony,SEK,Direct to Video,STV,,0,0"
"American Woman,French-Speaking Switzerland,Sony,CHF,Direct to Video,STV,,0,0"
"American Woman,German-Speaking Switzerland,Sony,CHF,Direct to Video,STV,,0,0"
